Metrics,KNN,LR,NB,DT,RF,GB
Accuracy,0.5017941832179196,0.513426662886485,0.505345833949072,0.5004381669922454,0.4984456228028389,0.5064435118535313
Precision,0.5016841828415379,0.5132590236662518,0.5064119725355606,0.5004125873316114,0.4992225804267817,0.5058745149191084
Recall,0.5016822960084955,0.5125005605642099,0.50620096041805,0.5004126852711719,0.49924854103882427,0.505422042789027
F1_score,0.5017054904001985,0.5072568158498223,0.499826411482192,0.5004363106000724,0.4937892306949439,0.4987196658984693
AUC_ROC,0.5013131097498488,0.51594733152097,0.5101917384541406,0.5004034382686402,0.500698491074511,0.5098252287941687
