Metrics,KNN,LR,NB,DT,RF,GB
Accuracy,0.5029934239356643,0.5131499326701515,0.5051890082319082,0.5007149274172165,0.5015451048744337,0.5112126994621592
Precision,0.5028529935560514,0.5129296768817038,0.5066090774927775,0.5006769596277273,0.5024420110703899,0.5109388541176199
Recall,0.5028492182074669,0.5124136279233179,0.50623998558434,0.5006769376165573,0.5023611216497849,0.5103042190008344
F1_score,0.5028449794896013,0.5092613285480722,0.4969624660638379,0.5007124563356855,0.4967590262417441,0.505190779408115
AUC_ROC,0.5045064419940061,0.5161361031587095,0.5093240000585715,0.500681513465487,0.5028306955487565,0.5131302302231724
