Metrics,KNN,LR,NB,DT,RF,GB
Accuracy,0.5031686138939493,0.5133528710839276,0.5059823287223868,0.5035100099542615,0.5039803632982542,0.5102902315093208
Precision,0.5030440361587155,0.5131224116366285,0.507435196980199,0.5034886333275039,0.5050386455331767,0.5100807605321099
Recall,0.5030408254586722,0.5126149016382388,0.5070158210771013,0.5034886341361388,0.5048222875747376,0.5093571113563797
F1_score,0.503057276690827,0.5094565405898944,0.4980853934489846,0.5035075701938322,0.49892152270935125,0.5036378515538852
AUC_ROC,0.5045369357149156,0.5165514370945045,0.5104184200327235,0.5034840327570866,0.5049875522445573,0.5129344168247129
